,X,Y,H,Vx,Vy,Vh
95,683896.1963,5092471.237,26.69007908,0.591012907,0.597861002,0.600493917
96,683896.202,5092471.362,26.68601361,0.588664061,0.598478412,0.600448734
97,683896.1913,5092471.372,26.56675137,0.586807648,0.598582144,0.600182707
98,683896.1291,5092471.336,26.65171156,0.586245986,0.597630866,0.599899632
99,683896.1072,5092471.157,26.82948092,0.586837956,0.596294726,0.599857847
100,683896.1672,5092471.12,26.96518968,0.588349927,0.595125006,0.599841268
101,683896.1672,5092471.112,27.22797848,0.589271047,0.594198746,0.599586651
102,683896.2146,5092471.09,27.46154951,0.589921202,0.593298501,0.599556117
103,683896.209,5092471.051,27.49570086,0.592022718,0.591912407,0.599295874
104,683896.2165,5092471.022,27.94698341,0.59452527,0.590474574,0.599263227
105,683896.2204,5092471.083,27.74350394,0.597364483,0.588768302,0.599002024
106,683896.1722,5092471.001,27.77530787,0.600266714,0.587769824,0.598720859
107,683896.1297,5092471.014,27.67193983,0.602201679,0.586841117,0.598679765
108,683896.2123,5092471.019,27.47114112,0.604034947,0.58569184,0.598415359
109,683896.247,5092471.02,27.30032096,0.60582773,0.584029376,0.598132877
110,683896.1413,5092471.034,27.31476858,0.607356285,0.581808168,0.598091349
111,683896.1556,5092471.022,27.31160993,0.609098811,0.579010037,0.59807488
112,683896.1664,5092471.14,27.12797789,0.610607571,0.575628141,0.597820219
113,683896.1958,5092471.084,27.09069127,0.611597931,0.572899306,0.597789711
114,683896.1999,5092471.088,27.02913011,0.612771635,0.571458912,0.598273762
115,683896.1924,5092471.246,26.7813392,0.613947612,0.56670438,0.598324781
116,683896.265,5092471.377,26.6955313,0.613636114,0.562613762,0.597600823
117,683896.3145,5092471.502,26.48163094,0.612909223,0.560737369,0.597773099
118,683896.2282,5092471.527,26.53730679,0.612584086,0.559104893,0.597771049
119,683896.2867,5092471.465,26.6072708,0.612029562,0.557817235,0.597522168
120,683896.1968,5092471.387,26.73893524,0.611206179,0.555851776,0.597493933
121,683896.1039,5092471.392,26.73533311,0.610842893,0.554573285,0.597482699
122,683896.1285,5092471.338,26.59974417,0.610521298,0.554596025,0.597478203
123,683896.1093,5092471.191,26.46886578,0.609719944,0.556022879,0.597476417
124,683896.1004,5092471.032,26.61968191,0.608621181,0.559639101,0.597227712
125,683896.1073,5092471.076,26.59296412,0.607474927,0.563808504,0.597199482
126,683896.0695,5092470.991,26.68824516,0.607054015,0.568374323,0.597436397
127,683896.0413,5092470.916,26.60929644,0.606957544,0.572779045,0.597211781
128,683896.0356,5092470.955,26.6578415,0.606175075,0.577438614,0.597193182
129,683896.0215,5092471.067,26.80639853,0.60582802,0.581880663,0.597185836
130,683896.0755,5092471.106,26.80237717,0.605264741,0.586306621,0.597430961
131,683896.1437,5092471.144,26.85449104,0.603445728,0.590230153,0.597457739
132,683896.2598,5092471.225,26.53082115,0.60098482,0.594095418,0.597468251
133,683896.3184,5092471.166,26.3808296,0.599402457,0.598185312,0.597472461
134,683896.3721,5092471.144,26.30291248,0.597390609,0.601053768,0.597474153
135,683896.2496,5092471.145,26.42739321,0.596093402,0.602797744,0.597474884
136,683896.2501,5092470.973,26.58442032,0.596357001,0.603881038,0.597475188
137,683896.2225,5092470.883,26.89638876,0.598553325,0.604595591,0.597723434
138,683896.2689,5092470.984,26.56621078,0.601271168,0.604490365,0.597751256
139,683896.1744,5092470.967,26.83223197,0.603877114,0.604022732,0.597762447
140,683896.143,5092470.958,26.9846606,0.605765072,0.602737792,0.597766863
141,683896.1487,5092470.869,26.83979441,0.606587309,0.601091827,0.597768528
142,683896.194,5092470.855,26.49916674,0.607020614,0.59912534,0.59826528
143,683896.2157,5092470.927,26.43402176,0.606625833,0.597598385,0.59856954
144,683896.2063,5092471.011,26.40967529,0.606362056,0.596104713,0.598619773
145,683896.1303,5092471.105,26.28516988,0.605831675,0.594128075,0.598639667
146,683896.0412,5092471.141,26.47531142,0.605017979,0.591604507,0.598647646
147,683896.0751,5092471.125,26.53299507,0.603914427,0.588756855,0.598898856
148,683896.1702,5092471.202,26.31625415,0.603014401,0.586099473,0.598927954
149,683896.2774,5092471.301,26.31010486,0.601876519,0.583446993,0.599187626
150,683896.1994,5092471.332,26.40529752,0.599970332,0.580548203,0.599220192
151,683896.297,5092471.433,26.37943914,0.598715345,0.578118577,0.599233075
152,683896.2619,5092471.401,26.46569511,0.597010853,0.575733753,0.599238214
153,683896.2249,5092471.326,26.50179474,0.595021014,0.574111069,0.599488317
154,683896.224,5092471.35,26.59638701,0.593732734,0.57282765,0.599765151
155,683896.1593,5092471.37,26.66185809,0.59251125,0.572104313,0.599556406
156,683896.1934,5092471.331,26.73113205,0.5913164,0.571462083,0.599295991
157,683896.1269,5092471.249,26.72622119,0.590628092,0.571596268,0.599759296
158,683896.0371,5092471.345,26.41591272,0.59049599,0.571579366,0.599802051
159,683896.0695,5092471.404,26.20592494,0.590691791,0.571820695,0.599819028
160,683896.0988,5092471.34,26.16074672,0.591443233,0.572589956,0.600073886
161,683896.1122,5092471.304,26.27553139,0.592274121,0.573427953,0.600104561
162,683896.2306,5092471.38,26.21200443,0.593384701,0.574293388,0.600116679
163,683896.1953,5092471.432,26.40257857,0.595527832,0.575417541,0.600121555
164,683896.1974,5092471.404,26.53712301,0.597798826,0.577317958,0.600371556
165,683896.2626,5092471.477,26.5949638,0.600368638,0.578819065,0.600400233
166,683896.3191,5092471.399,26.49383009,0.602986447,0.580798401,0.600411557
167,683896.3864,5092471.397,26.51761279,0.604630994,0.582578825,0.60041608
168,683896.3586,5092471.435,26.21247456,0.606171253,0.584102692,0.600417781
169,683896.4663,5092471.361,26.00988195,0.608414591,0.584602663,0.600418477
170,683896.3729,5092471.289,26.00007631,0.612213586,0.584482403,0.600666887
171,683896.3456,5092471.212,26.09119357,0.61620707,0.584008989,0.600943066
172,683896.4167,5092471.172,26.16328011,0.62002965,0.583714125,0.600982145
173,683896.4177,5092471.12,26.23138859,0.623606673,0.582923387,0.600997642
174,683896.4053,5092471.098,26.28545236,0.627156798,0.582325039,0.601003783
175,683896.4008,5092471.11,26.2709362,0.630696278,0.580988325,0.601006199
176,683896.4036,5092471.135,26.35035234,0.633487307,0.579570088,0.60125526
177,683896.4504,5092471.14,26.43664738,0.634704424,0.578367536,0.60128359
178,683896.4675,5092471.243,26.25634808,0.634727663,0.576684139,0.601542826
179,683896.4677,5092471.282,26.19797051,0.633814998,0.575198724,0.601327139
180,683896.3649,5092471.185,26.44428421,0.632990508,0.573969303,0.601560214
181,683896.3829,5092471.229,26.54404691,0.631634589,0.573019541,0.601582166
182,683896.3928,5092471.204,26.46396466,0.630456782,0.57210988,0.601590819
183,683896.3413,5092471.252,26.36549849,0.628782956,0.571216367,0.60159424
184,683896.3389,5092471.295,26.28541069,0.627053406,0.57107336,0.6015956
185,683896.4172,5092471.315,25.83942356,0.624557564,0.571760836,0.601844112
186,683896.4443,5092471.263,25.87510972,0.621969046,0.572318151,0.60187235
187,683896.4668,5092471.319,25.91900903,0.619095733,0.573142701,0.602131637
188,683896.4778,5092471.183,26.22983655,0.61692415,0.574250317,0.602164099
189,683896.4887,5092471.165,26.26064328,0.615067607,0.575152218,0.602176898
190,683896.4285,5092471.109,26.27113595,0.614009723,0.575794645,0.602430041
191,683896.3099,5092470.982,26.38089442,0.613057238,0.575908387,0.602211936
192,683896.2738,5092470.964,26.37386765,0.612146682,0.575953689,0.602443931
193,683896.2817,5092470.941,26.16387587,0.611748882,0.576715889,0.602465429
194,683896.2791,5092470.949,26.13638317,0.610917334,0.578047269,0.602722079
195,683896.2824,5092470.941,26.22115341,0.60931044,0.580207625,0.60275345
196,683896.3059,5092470.954,26.110877,0.607359336,0.582485462,0.603013916
197,683896.4868,5092470.965,26.21366589,0.605094222,0.585306,0.602798745
198,683896.5768,5092471.046,26.32610681,0.602278652,0.58844908,0.602783866
199,683896.5926,5092471.056,26.58733965,0.59988183,0.591649373,0.603026087
200,683896.5832,5092471.151,26.59077823,0.598502535,0.594376472,0.60305163
201,683896.5087,5092471.188,26.60858958,0.597989182,0.596312326,0.603061759
202,683896.4073,5092471.281,26.70697223,0.598600247,0.597153619,0.603313876
203,683896.2883,5092471.322,26.46196334,0.599871612,0.597346268,0.603343316
204,683896.3182,5092471.333,26.40112689,0.601760255,0.597422605,0.603355036
205,683896.1687,5092471.162,26.74660794,0.603504436,0.59695637,0.603607881
206,683896.1746,5092471.022,26.72820423,0.605510138,0.595920082,0.603637613
207,683896.2461,5092470.965,26.50677292,0.607549042,0.594302592,0.603649339
208,683896.2824,5092470.977,26.24582967,0.61059333,0.593587797,0.603653972
209,683896.3635,5092470.99,26.20284308,0.613754611,0.592701003,0.603655869
210,683896.4317,5092470.944,25.95368925,0.616218008,0.592312474,0.603656566
211,683896.4112,5092470.977,25.67438558,0.618119749,0.591980904,0.603904908
212,683896.4453,5092470.917,25.5749647,0.619939768,0.592167766,0.603684922
213,683896.4147,5092470.828,25.85353614,0.621231121,0.591675206,0.603916317
214,683896.4882,5092470.962,26.04068348,0.621213472,0.590628869,0.604185698
215,683896.483,5092471.03,26.12835242,0.620284542,0.589255219,0.604222055
216,683896.5307,5092471.107,26.01928534,0.618213358,0.587822324,0.604236414
217,683896.5534,5092471.267,25.90996279,0.615722824,0.587358383,0.604242102
218,683896.5286,5092471.366,25.89116245,0.612640252,0.587988967,0.604244383
219,683896.4862,5092471.379,25.77436484,0.609959964,0.588771768,0.604245261
220,683896.4848,5092471.384,25.71774116,0.607050298,0.589366997,0.604245625
221,683896.5249,5092471.353,25.92258594,0.604368196,0.590206314,0.604245846
222,683896.54,5092471.311,25.94202747,0.601705834,0.591568187,0.604245886
223,683896.5318,5092471.239,26.06661307,0.599795531,0.592748291,0.60424593
