,X,Y,H
57,683883.1789373473,5092464.442890935,-16.220299391573786
58,683883.1737706807,5092464.644002046,-16.375299391501805
59,683883.2344040141,5092464.591279822,-16.66297716842982
60,683883.2562595706,5092464.628557601,-16.928654946357817
61,683883.2529040151,5092464.729113155,-16.727654946285803
62,683883.3316040152,5092464.854668711,-16.680632724213776
63,683883.2897373497,5092464.964668711,-16.633932724141737
64,683883.2628262389,5092464.855946487,-16.458410502069686
65,683883.1973595725,5092464.793557598,-16.49058827999762
66,683883.1000484618,5092464.830613152,-16.15036605692554
67,683883.0507040172,5092464.79239093,-15.905143834853455
68,683883.0081373515,5092464.762057597,-15.700721612781345
69,683882.9155151289,5092464.857279818,-15.83922161270923
70,683882.9225151293,5092464.80250204,-16.119877167637103
71,683882.9225373527,5092464.867279816,-16.37183272356496
72,683882.9635595751,5092465.013668705,-16.780732723492804
73,683882.9428817974,5092465.016057594,-16.81918827942064
74,683882.9386262429,5092465.009557593,-17.23534383434846
75,683882.945370687,5092465.023613148,-16.88372161227627
76,683882.9288373546,5092464.871502035,-16.75039939020406
77,683883.0553706879,5092464.941779814,-16.826454945131843
78,683883.1718817992,5092464.862057591,-16.71453272305961
79,683883.1481373559,5092464.894168701,-16.291810500987363
80,683883.1625484672,5092464.755002034,-16.23766605591511
81,683883.1829151335,5092464.642390922,-16.37494383384284
82,683883.2740818008,5092464.781779811,-16.383721611770557
83,683883.2500040233,5092464.620002032,-16.083399389698258
84,683883.3613484685,5092464.563113142,-16.244677166625948
85,683883.3182706912,5092464.541668698,-16.40495494455363
86,683883.2392929133,5092464.373502031,-16.324332722481298
87,683883.1848484698,5092464.345057585,-16.69881050040895
88,683883.113559581,5092464.353779807,-16.589110500336588
89,683883.1816706925,5092464.394946474,-16.860488278264217
90,683883.16473736,5092464.419002028,-17.003766055191832
91,683883.0912262491,5092464.406779805,-17.10262161111943
92,683883.1421595828,5092464.439835361,-16.97152161104702
93,683883.145137361,5092464.478168693,-16.8826993889746
94,683883.1440929165,5092464.688502025,-16.88147716590216
95,683883.2165262507,5092464.884002026,-17.060554943844203
96,683883.2135818062,5092464.998779803,-17.042154943771745
97,683883.1953818065,5092464.985113135,-17.171232721699266
98,683883.118970696,5092464.935835358,-17.050410499626782
99,683883.0957818072,5092464.73066869,-16.843010499554286
100,683883.1657706967,5092464.7123353565,-16.70251049948177
101,683883.154837364,5092464.716168689,-16.41308827740925
102,683883.2034040304,5092464.695724244,-16.17328827733671
103,683883.1846151416,5092464.6579464665,-16.167866054264163
104,683883.1856262542,5092464.633446464,-15.650466054206111
105,683883.1823595875,5092464.714224244,-15.943643832133535
106,683883.118626255,5092464.617002019,-15.892721610060951
107,683883.0689929212,5092464.642668685,-16.01002160998835
108,683883.1668818105,5092464.653335352,-16.227699387915738
109,683883.1923151439,5092464.656002017,-16.394377164843114
110,683883.0553929224,5092464.676390906,-16.343277164770477
111,683883.0755151446,5092464.664057571,-16.336577164712356
112,683883.0818818121,5092464.807446461,-16.544454942639693
113,683883.1080818124,5092464.730279793,-16.55955494256702
114,683883.1036707019,5092464.740390904,-16.61499938749433
115,683883.0836707021,5092464.929502015,-16.88929938742163
116,683883.1617818136,5092465.065946458,-16.95153272034892
117,683883.2062929248,5092465.192113125,-17.177654942290737
118,683883.0914040364,5092465.201835346,-17.075354942218002
119,683883.1639929255,5092465.121279789,-16.98643272014525
120,683883.048248482,5092465.035446457,-16.83513272007249
121,683882.9449373712,5092465.054168678,-16.852632719999715
122,683882.9843151489,5092464.993890899,-17.010832719926924
123,683882.9613818161,5092464.828057566,-17.144432719868686
124,683882.9539707055,5092464.659946454,-16.942410497795873
125,683882.9652373728,5092464.733835343,-16.98141049772305
126,683882.9213818173,5092464.634557564,-16.864732719650213
127,683882.8938484845,5092464.554557564,-16.964010497577362
128,683882.8926929291,5092464.610724229,-16.89651049751907
129,683882.8791595963,5092464.737446452,-16.7216104974462
130,683882.9452262637,5092464.766890896,-16.74043271937331
131,683883.019937375,5092464.79794645,-16.679132719300412
132,683883.1466484864,5092464.882446449,-17.061732719242084
133,683883.1995373757,5092464.79805756,-17.19433271916916
134,683883.2500373763,5092464.773113114,-17.251332719096222
135,683883.0954262655,5092464.776002003,-17.082732719023277
136,683883.105359599,5092464.575557559,-16.905232718964903
137,683883.0727151543,5092464.4940575585,-16.55695494089193
138,683883.1257373773,5092464.632835336,-16.983054940818946
139,683883.0050818219,5092464.608335334,-16.637954940745946
140,683882.9720929331,5092464.601002,-16.48035494068754
141,683882.9797262677,5092464.499557556,-16.670554940614515
142,683883.027481823,5092464.495835333,-17.052999385541483
143,683883.0427929343,5092464.586279777,-17.079921607483044
144,683883.0224040456,5092464.678001997,-17.082821607409986
145,683882.9282596022,5092464.777446443,-17.214721607336916
146,683882.8271596024,5092464.805613108,-16.96912160726383
147,683882.8747818249,5092464.779501997,-16.915843829205354
148,683882.9796818251,5092464.869668663,-17.176743829132242
149,683883.0879818253,5092464.977557551,-17.155166051059126
150,683882.9743040479,5092464.999613106,-17.032366051000622
151,683883.088181826,5092465.110501993,-17.067266050927476
152,683883.0316596046,5092465.058835328,-16.960566050854318
153,683882.9854707159,5092464.969890882,-16.92448827379578
154,683882.9855596054,5092465.00777977,-16.8158104957226
155,683882.9075040496,5092465.031668659,-16.747888273649405
156,683882.952548495,5092464.983557547,-16.674666050590844
157,683882.8695262733,5092464.89100199,-16.686710495517623
158,683882.7688262736,5092465.015001991,-17.047510495444392
