Time (sec),latitude(deg),longitude(deg),X (m),Y (m),height(m),sdn(m),sde(m),sdu(m),Vn(km/h),Vn (m/s),Ve(km/h),Ve(m/s),Vd(km/h),Vu(m/s)
39,45.96110221,-66.6268892,683882.4869,5092463.975,-17.4861,4.601,3.2972,8.4683,-0.01,-0.002777778,-0.012,-0.003333333,-0.046,0.012777778
40,45.96110248,-66.62688916,683882.4891,5092464.005,-17.4976,4.6016,3.297,8.4678,-0.006,-0.001666667,-0.013,-0.003611111,-0.046,0.012777778
41,45.96110046,-66.62688886,683882.5191,5092463.781,-17.2524,4.6022,3.2969,8.4673,0,0,-0.017,-0.004722222,-0.047,0.013055556
42,45.9611006,-66.62688855,683882.5426,5092463.797,-17.1674,4.6028,3.2967,8.4668,0.006,0.001666667,-0.022,-0.006111111,-0.048,0.013333333
43,45.96110049,-66.62688865,683882.5352,5092463.785,-17.2679,4.6035,3.2966,8.4663,0.012,0.003333333,-0.028,-0.007777778,-0.048,0.013333333
44,45.96110118,-66.62688904,683882.5027,5092463.861,-17.0565,4.6041,3.2964,8.4657,0.018,0.005,-0.034,-0.009444444,-0.049,0.013611111
45,45.96110107,-66.62688981,683882.4434,5092463.847,-16.9873,4.6047,3.2962,8.4652,0.025,0.006944444,-0.04,-0.011111111,-0.05,0.013888889
46,45.96110122,-66.62689084,683882.3631,5092463.861,-17.1223,4.6053,3.2961,8.4647,0.034,0.009444444,-0.044,-0.012222222,-0.05,0.013888889
47,45.96110202,-66.62689023,683882.4078,5092463.951,-17.0758,4.606,3.2959,8.4642,0.041,0.011388889,-0.048,-0.013333333,-0.051,0.014166667
48,45.96110206,-66.62689115,683882.3363,5092463.954,-16.8998,4.6066,3.2958,8.4637,0.048,0.013333333,-0.051,-0.014166667,-0.051,0.014166667
49,45.96110361,-66.6268917,683882.2886,5092464.125,-16.9443,4.6072,3.2956,8.4632,0.057,0.015833333,-0.055,-0.015277778,-0.051,0.014166667
50,45.96110398,-66.62688949,683882.4586,5092464.171,-17.246,4.6079,3.2954,8.4627,0.066,0.018333333,-0.058,-0.016111111,-0.051,0.014166667
51,45.96110384,-66.62688913,683882.487,5092464.156,-17.2406,4.6085,3.2953,8.4622,0.073,0.020277778,-0.062,-0.017222222,-0.051,0.014166667
52,45.96110408,-66.62688922,683882.4792,5092464.182,-16.9858,4.6091,3.2951,8.4617,0.076,0.021111111,-0.067,-0.018611111,-0.051,0.014166667
53,45.96110463,-66.62688841,683882.5401,5092464.245,-16.86,4.6097,3.295,8.4611,0.075,0.020833333,-0.069,-0.019166667,-0.05,0.013888889
54,45.96110279,-66.62688837,683882.5493,5092464.041,-16.82,4.6104,3.2948,8.4606,0.074,0.020555556,-0.072,-0.02,-0.05,0.013888889
55,45.96110171,-66.62688898,683882.5056,5092463.92,-17.1889,4.611,3.2947,8.4601,0.072,0.02,-0.073,-0.020277778,-0.05,0.013888889
56,45.96110138,-66.62688796,683882.5858,5092463.885,-17.3247,4.6116,3.2945,8.4596,0.071,0.019722222,-0.075,-0.020833333,-0.05,0.013888889
57,45.96110051,-66.62688915,683882.4964,5092463.786,-16.873,4.6123,3.2943,8.4591,0.074,0.020555556,-0.075,-0.020833333,-0.049,0.013611111
58,45.96110021,-66.62688869,683882.5331,5092463.754,-16.9003,4.6129,3.2942,8.4586,0.08,0.022222222,-0.075,-0.020833333,-0.048,0.013333333
59,45.96110201,-66.62688869,683882.5271,5092463.954,-17.0553,4.6135,3.294,8.4581,0.084,0.023333333,-0.072,-0.02,-0.048,0.013333333
60,45.96110152,-66.62688794,683882.5869,5092463.901,-17.3427,4.6141,3.2939,8.4576,0.085,0.023611111,-0.069,-0.019166667,-0.047,0.013055556
61,45.96110185,-66.62688765,683882.6082,5092463.938,-17.6081,4.6148,3.2937,8.4571,0.086,0.023888889,-0.067,-0.018611111,-0.046,0.012777778
62,45.96110275,-66.62688768,683882.6029,5092464.038,-17.4071,4.6154,3.2935,8.4566,0.088,0.024444444,-0.06,-0.016666667,-0.046,0.012777778
63,45.96110385,-66.62688665,683882.6791,5092464.163,-17.3598,4.616,3.2934,8.4561,0.09,0.025,-0.051,-0.014166667,-0.045,0.0125
64,45.96110485,-66.62688719,683882.6339,5092464.273,-17.3131,4.6167,3.2932,8.4556,0.09,0.025,-0.039,-0.010833333,-0.045,0.0125
65,45.96110388,-66.62688763,683882.6031,5092464.164,-17.1373,4.6173,3.2931,8.4551,0.091,0.025277778,-0.025,-0.006944444,-0.044,0.012222222
