X,Y,Z,Latitude,Longitude,Altitude (m)
683881.075392739,5092463.45678723,-19.653,45.96109793,-66.6269076,-19.653
683881.070644376,5092463.45998181,-19.647,45.96109796,-66.62690766,-19.647
683881.068319845,5092463.45991256,-19.64,45.96109796,-66.62690769,-19.64
683881.066869454,5092463.45653331,-19.635,45.96109793,-66.62690771,-19.635
683881.063869375,5092463.45310788,-19.631,45.9610979,-66.62690775,-19.631
683881.061644141,5092463.44970554,-19.624,45.96109787,-66.62690778,-19.624
683881.059452004,5092463.44519217,-19.62,45.96109783,-66.62690781,-19.62
683881.057160571,5092463.44401189,-19.618,45.96109782,-66.62690784,-19.618
683881.057935416,5092463.44403497,-19.618,45.96109782,-66.62690783,-19.618
683881.059551302,5092463.44185908,-19.617,45.9610978,-66.62690781,-19.617
683881.061200287,5092463.43857216,-19.618,45.96109777,-66.62690779,-19.618
683881.06055784,5092463.43410495,-19.619,45.96109773,-66.6269078,-19.619
683881.063690316,5092463.43308626,-19.621,45.96109772,-66.62690776,-19.621
683881.06446516,5092463.43310934,-19.624,45.96109772,-66.62690775,-19.624
683881.067531436,5092463.4343127,-19.628,45.96109773,-66.62690771,-19.628
683881.072114302,5092463.43667327,-19.635,45.96109775,-66.62690765,-19.635
683881.076829565,5092463.43458971,-19.64,45.96109773,-66.62690759,-19.64
683881.083160715,5092463.43033026,-19.647,45.96109769,-66.62690751,-19.647
683881.089458765,5092463.42718184,-19.653,45.96109766,-66.62690743,-19.653
683881.09110775,5092463.42389491,-19.658,45.96109763,-66.62690741,-19.658
683881.092014991,5092463.41947388,-19.666,45.96109759,-66.6269074,-19.666
683881.090531501,5092463.41720565,-19.672,45.96109757,-66.62690742,-19.672
683881.088981813,5092463.41715948,-19.683,45.96109757,-66.62690744,-19.683
683881.088372464,5092463.41158125,-19.693,45.96109752,-66.62690745,-19.693
683881.086988271,5092463.40597993,-19.703,45.96109747,-66.62690747,-19.703
683881.087186866,5092463.39931375,-19.713,45.96109741,-66.62690747,-19.713
683881.088127207,5092463.39378168,-19.724,45.96109736,-66.62690746,-19.724
683881.088259603,5092463.38933756,-19.734,45.96109732,-66.62690746,-19.734
683881.085160226,5092463.38924523,-19.74,45.96109732,-66.6269075,-19.74
683881.082835694,5092463.38917598,-19.748,45.96109732,-66.62690753,-19.748
683881.078120431,5092463.39125954,-19.755,45.96109734,-66.62690759,-19.755
683881.074213112,5092463.39225515,-19.762,45.96109735,-66.62690764,-19.762
683881.071789282,5092463.39551899,-19.77,45.96109738,-66.62690767,-19.77
683881.069332353,5092463.39989386,-19.778,45.96109742,-66.6269077,-19.778
683881.067550971,5092463.4076249,-19.786,45.96109749,-66.62690772,-19.786
683881.063511256,5092463.41306463,-19.792,45.96109754,-66.62690777,-19.792
683881.061762973,5092463.41968464,-19.8,45.9610976,-66.62690779,-19.8
683881.057657058,5092463.42734644,-19.809,45.96109767,-66.62690784,-19.809
683881.055875676,5092463.43507748,-19.815,45.96109774,-66.62690786,-19.815
683881.054160492,5092463.44058646,-19.823,45.96109779,-66.62690788,-19.823
683881.05480294,5092463.44505367,-19.831,45.96109783,-66.62690787,-19.831
683881.057127472,5092463.44512292,-19.84,45.96109783,-66.62690784,-19.84
683881.059485103,5092463.44408114,-19.848,45.96109782,-66.62690781,-19.848
683881.06258448,5092463.44417347,-19.856,45.96109782,-66.62690777,-19.856
683881.063392424,5092463.44308553,-19.863,45.96109781,-66.62690776,-19.863
683881.06500831,5092463.44090963,-19.869,45.96109779,-66.62690774,-19.869
683881.066657294,5092463.43762271,-19.876,45.96109776,-66.62690772,-19.876
683881.06830628,5092463.43433579,-19.881,45.96109773,-66.6269077,-19.881
683881.069922166,5092463.43215989,-19.89,45.96109771,-66.62690768,-19.89
683881.067564535,5092463.43320167,-19.899,45.96109772,-66.62690771,-19.899
683881.064332763,5092463.43755346,-19.906,45.96109776,-66.62690775,-19.906
683881.061809636,5092463.44415039,-19.912,45.96109782,-66.62690778,-19.912
