,X,Y,H
232,683879.5337777787,5092466.187222213,-15.002277779000007
233,683879.5279444457,5092466.198055546,-14.995611112000008
234,683879.5212777788,5092466.210555546,-14.988666668000008
235,683879.5129444458,5092466.223888879,-14.981444446000008
236,683879.5026666678,5092466.237777768,-14.974222224000009
237,683879.4898888898,5092466.251388879,-14.96700000200001
238,683879.4746111118,5092466.263888879,-14.95950000200001
239,683879.4573888897,5092466.275277767,-14.952000002000009
240,683879.4385000007,5092466.286111101,-14.944500002000009
241,683879.4182222227,5092466.2980555445,-14.93672222400001
242,683879.3973888897,5092466.312222212,-14.92894444600001
243,683879.3765555567,5092466.329444434,-14.92116666800001
244,683879.3554444456,5092466.349722211,-14.913388890000011
245,683879.3340555566,5092466.372222211,-14.905611112000011
246,683879.3123888896,5092466.3961111,-14.897833334000012
247,683879.2898888896,5092466.421388878,-14.890055556000013
248,683879.2662777787,5092466.449166656,-14.882000000000012
249,683879.2412777786,5092466.478888878,-14.873944444000012
250,683879.2154444456,5092466.509999989,-14.865888888000011
251,683879.1882222237,5092466.541388878,-14.857555555000012
252,683879.1596111127,5092466.572499989,-14.849222222000012
253,683879.1298888907,5092466.602499989,-14.840888889000013
254,683879.0998888906,5092466.6311111,-14.832277778000012
255,683879.0696111126,5092466.658055544,-14.823666667000012
256,683879.0398888906,5092466.682777766,-14.815055556000011
257,683879.0110000016,5092466.704444434,-14.806444445000011
258,683878.9832222236,5092466.723055544,-14.797555556000011
259,683878.9571111125,5092466.738055544,-14.788666667000012
260,683878.9340555565,5092466.749166655,-14.779777778000012
261,683878.9146111126,5092466.756944434,-14.770888889000013
262,683878.8993333345,5092466.761388877,-14.762000000000013
263,683878.8882222235,5092466.762499988,-14.752833333000012
264,683878.8804444455,5092466.760277766,-14.743944444000013
265,683878.8760000016,5092466.756111098,-14.734777777000012
266,683878.8737777795,5092466.749999988,-14.725611110000012
267,683878.8737777795,5092466.743055544,-14.716444443000011
268,683878.8751666686,5092466.736388877,-14.70727777600001
269,683878.8779444465,5092466.730833321,-14.69811110900001
270,683878.8810000025,5092466.72722221,-14.68866666500001
271,683878.8837777805,5092466.726388877,-14.67949999800001
272,683878.8862777804,5092466.729166655,-14.670333331000009
273,683878.8876666694,5092466.735555544,-14.66088888700001
274,683878.8871111134,5092466.744999988,-14.651722220000009
275,683878.8843333354,5092466.756111099,-14.642555553000008
276,683878.8796111135,5092466.767222211,-14.633388886000008
277,683878.8735000024,5092466.778333322,-14.623666664000007
278,683878.8662777804,5092466.788888878,-14.613944442000006
279,683878.8585000024,5092466.799444434,-14.604222220000006
280,683878.8512777804,5092466.8102777675,-14.594499998000005
281,683878.8454444474,5092466.821666656,-14.584777776000005
282,683878.8404444474,5092466.832499989,-14.575055554000004
283,683878.8351666693,5092466.842499989,-14.565333332000003
284,683878.8290555583,5092466.8511111,-14.555333332000004
285,683878.8215555584,5092466.8586111,-14.545333332000004
286,683878.8123888914,5092466.864999989,-14.535333332000004
287,683878.8012777803,5092466.870555545,-14.525333332000004
288,683878.7873888913,5092466.876944434,-14.515333332000004
289,683878.7704444473,5092466.8849999895,-14.505333332000005
290,683878.7512777803,5092466.894999989,-14.495333332000005
291,683878.7315555583,5092466.906666656,-14.485055554000004
292,683878.7118333363,5092466.9197222125,-14.474777776000003
293,683878.6929444473,5092466.9336111015,-14.464499998000003
294,683878.6754444473,5092466.948055546,-14.454222220000002
295,683878.6596111143,5092466.96249999,-14.444222220000002
296,683878.6454444473,5092466.976388879,-14.434222220000002
297,683878.6329444473,5092466.98999999,-14.423944442000002
298,683878.6210000033,5092467.003611101,-14.413666664
299,683878.6093333364,5092467.017222212,-14.403666664000001
300,683878.5979444473,5092467.031111101,-14.393666664000001
301,683878.5873888913,5092467.044166657,-14.383666664000001
302,683878.5773888913,5092467.055833324,-14.373666664000002
303,683878.5671111132,5092467.065833324,-14.363388886000001
304,683878.5568333352,5092467.074444435,-14.353111108
305,683878.5462777792,5092467.081944435,-14.343111108
306,683878.5354444461,5092467.087777768,-14.33283333
307,683878.5246111131,5092467.0916666575,-14.322555551999999
308,683878.5137777801,5092467.093611102,-14.312555552
309,683878.5023888911,5092467.0933333235,-14.302555552
310,683878.4907222241,5092467.090555546,-14.292555552
311,683878.4790555572,5092467.0847222125,-14.282555552
312,683878.4671111131,5092467.07638888,-14.27283333
313,683878.4548888911,5092467.065555546,-14.26283333
314,683878.4423888911,5092467.053333324,-14.253111107999999
315,683878.4298888912,5092467.041111102,-14.243388885999998
316,683878.4179444471,5092467.029999991,-14.233388885999998
317,683878.4062777802,5092467.021111102,-14.223388885999999
318,683878.3946111132,5092467.016111102,-14.213388885999999
319,683878.3832222242,5092467.015555546,-14.203388885999999
320,683878.3715555572,5092467.019166657,-14.193388886
321,683878.3596111132,5092467.026388879,-14.183388886
322,683878.3473888912,5092467.036666657,-14.173388886
323,683878.3340555582,5092467.049722213,-14.163388886
324,683878.3198888912,5092467.064444436,-14.153388886
325,683878.3048888912,5092467.080833325,-14.143388886
326,683878.2893333351,5092467.099166658,-14.133388886
327,683878.2735000021,5092467.118333325,-14.123388886
328,683878.2585000021,5092467.138055547,-14.113388886000001
329,683878.2440555581,5092467.158055547,-14.103388886000001
330,683878.2298888911,5092467.178055546,-14.093388886000001
331,683878.2165555581,5092467.198055546,-14.083388886000002
332,683878.2040555582,5092467.218055545,-14.073111108
333,683878.1923888912,5092467.238055545,-14.063111108000001
334,683878.1812777802,5092467.258333323,-14.053111108000001
335,683878.1715555582,5092467.277777767,-14.043111108000002
336,683878.1626666692,5092467.295555545,-14.03283333
337,683878.1548888913,5092467.310555545,-14.023111108
338,683878.1482222243,5092467.322222211,-14.013388886
339,683878.1423888913,5092467.3311111005,-14.003388886
340,683878.1373888913,5092467.337222211,-13.993666664
341,683878.1329444473,5092467.341944433,-13.983944441999999
342,683878.1290555584,5092467.3461111,-13.974222219999998
343,683878.1251666694,5092467.349999989,-13.964499997999997
344,683878.1215555584,5092467.3536111,-13.954777775999997
345,683878.1173888914,5092467.358055544,-13.945055553999996
346,683878.1123888914,5092467.364444433,-13.935333331999995
347,683878.1068333354,5092467.372777766,-13.925611109999995
348,683878.1012777793,5092467.38222221,-13.915611109999995
349,683878.0954444463,5092467.391944432,-13.905611109999995
350,683878.0896111133,5092467.401388876,-13.895611109999995
351,683878.0832222243,5092467.409166655,-13.885611109999996
352,683878.0771111132,5092467.415555543,-13.875611109999996
353,683878.0723888912,5092467.420277765,-13.865611109999996
354,683878.0687777803,5092467.423888876,-13.855611109999996
